"api","description","category","updated"
"wsrelater","recommendation engine","recommendations","2005-11-27"
"yellowbot location","local business search service","recommendations","2011-01-06"
"yelp","local user reviews and city guides","recommendations","2007-08-03"
"yonda4","reading lists and recommendations","recommendations","2011-05-25"
"abbreviations","abbreviated words services","reference","2008-08-26"
"ahds identifier resolver","uk electronic research data repository","reference","2011-06-30"
"allareacodes","area code lookup service","reference","2011-02-23"
"amazonca","online barcode database","reference","2011-05-20"
"american bible society biblesearch","bible access and search service","reference","2011-05-25"
"aonaware dictionary","dictionary lookup service","reference","2006-11-19"
"arxiv","academic research repository","reference","2008-05-04"
"aspect vocabulary bank for education","education vocabulary controlled lists","reference","2010-12-17"
"atlas","audio and video metadata index","reference","2010-12-29"
"autoappmart","in-car application marketplace","reference","2010-12-20"
"avvo","lawyer and doctor directory service","reference","2011-02-03"
"baby names","international baby naming services","reference","2008-07-20"
"bankholidays","swedish banking holiday lookup service","reference","2011-02-15"
"banklz","german bankcode lookup service","reference","2010-11-09"
"barcelona bicing","bicing station data","reference","2011-05-25"
"basic local alignment search tool","genome database search tool","reference","2011-07-26"
"bbs scene","bulletin board system services","reference","2011-07-05"
"bible.org","bible passage access","reference","2009-09-09"
"biblia.com","online bible reference service","reference","2010-03-29"
"big huge thesaurus","thesaurus lookup services","reference","2008-08-28"
"biocatalogue","life sciences web registry service","reference","2011-07-14"
"biomoby","plant genome reference service","reference","2011-09-02"
"biomolecular interaction network database","biomolecular database","reference","2011-02-23"
"boliven patents","100 million patent and scientific documents","reference","2010-05-05"
"boliven publications","patent and scientific document portal","reference","2011-10-14"
"bookshare","accessible books for readers with print disabilities","reference","2011-01-27"
"brain maps","brain section images","reference","2011-09-06"
"brewery db","open library of breweries and beers","reference","2011-04-14"
"bview content","local business info service","reference","2010-12-13"
"callook","us amateur radio callsign lookup","reference","2010-12-29"
"calorieking","food information service","reference","2009-02-19"
"cambridge university library","library catalog and services","reference","2011-10-11"
"carjam","new zealand car facts history service","reference","2008-12-27"
"carquery","automobile information","reference","2011-11-19"
"catalogws","academic library","reference","2008-02-07"
"cdyne 411","directory assistance service","reference","2010-11-19"
"cdyne demographics","neighborhood level demographics service","reference","2010-11-22"
"ceern","conservation and environment resource database","reference","2011-02-08"
"cevir turkish-english dictionary","turkish-english dictionary look up service","reference","2010-12-02"
"chemcaster","cheminformatics management platform","reference","2009-11-29"
"china historical gis","chinese history and geography information service","reference","2012-01-17"
"citeulike","citation management service","reference","2011-11-08"
"city and state by zip code","address lookup service","reference","2006-11-19"
"citygroups","local public directory","reference","2011-09-13"
"ckan","comprehensive knowledge archive network","reference","2010-10-20"
"complexity intelligence spell checker","spelling correction and recommendation service","reference","2010-11-11"
"comprehensive knowledge archive network","community driven open knowledge database","reference","2008-07-10"
"conversions","online calculator and measurment converter","reference","2010-01-14"
"cortera","business information and research data","reference","2008-05-01"
"cortera business vitals","basic company information web service","reference","2008-05-11"
"craftyclicks uk postal address lookup","uk postcode lookup service","reference","2010-04-21"
"crossref doi resolver","persistent identifier resolver","reference","2011-10-11"
"crunchbase","directory of companies people and investors","reference","2008-07-16"
"csrhub","corporate social responsibility ratings database","reference","2011-09-26"
"cyc","semantic meaning service","reference","2009-10-18"
"d&b direct","commercial business information service","reference","2011-10-07"
"data science toolkit","open source tools for science","reference","2011-04-15"
"datanibble","quotes generator","reference","2008-12-01"
"dbpedia spotlight","semantic text annotation and disambiguation","reference","2011-08-22"
"death index","access to the social security death index","reference","2009-09-15"
"deduktiv ebaas distance","uk postcodes service","reference","2011-02-28"
"deepdyve","scientific and medical journals","reference","2009-11-19"
"dictionary definitions","online dictionary","reference","2010-01-28"
"dictionary.com","dictionary lookup service","reference","2010-10-04"
"digitalnz","new zealand metadata database","reference","2009-09-02"
"dun and bradstreet business verification","research company background data","reference","2006-09-23"
"dun and bradstreet worldbase marketing plus","business research services","reference","2006-09-23"
"duoshare address verification","us address verification service","reference","2008-09-21"
"ebibleicious","bible lookup service","reference","2011-08-12"
"ecolabel index","ecolabel database tools","reference","2011-02-28"
"edmunds.com inventory","specific automobile information via vin","reference","2011-11-02"
"edmunds.com vehicle","automobile information","reference","2011-11-02"
"elsevier article","scientific journals and articles search service","reference","2008-11-16"
"encyclopedia of life","biology encyclopedia","reference","2011-02-28"
"esv bible lookup","bible lookup service","reference","2005-09-04"
"fao fisheries and aquaculture fact sheets","fisheries and aquaculture data service","reference","2011-11-23"
"forvo","online word pronunciation guide","reference","2010-03-25"
"fraudlabs areacodeworld npa nxx area code","geographical location service","reference","2010-11-17"
