"collegesort","citysort","representativesort","statesort","district","zip codesort"
"concordia university at austin","austin","lamar s. smith","tx","21","78705"
"texas college of traditional chinese medicine","austin","lamar s. smith","tx","21","78704"
"university of texas at austin","austin","lamar s. smith","tx","21","78712"
"san antonio college","san antonio","lamar s. smith","tx","21","78212"
"texas chiropractic college","pasadena","tom delay","tx","22","77505"
"college of the mainland","texas city","tom delay","tx","22","77591"
"university of houston - clear lake","houston","tom delay","tx","22","77058"
"san jacinto community college district","pasadena","tom delay","tx","22","77504"
"university of texas at san antonio","san antonio","henry bonilla","tx","23","78249"
"itt technical institute","san antonio","henry bonilla","tx","23","78249"
"texas a&m international university","laredo","henry bonilla","tx","23","78041"
"southwest texas junior college","uvalde","henry bonilla","tx","23","78801"
"sul ross state university","alpine","henry bonilla","tx","23","79832"
"laredo community college","laredo","henry bonilla","tx","23","78040"
"schreiner university","kerrville","henry bonilla","tx","23","78028"
"dallas christian college","dallas","kenny marchant","tx","24","75234"
"brookhaven college","farmers branch","kenny marchant","tx","24","75244"
"dallas baptist university","dallas","kenny marchant","tx","24","75211"
"north lake college","irving","kenny marchant","tx","24","75038"
"austin business college","austin","lloyd doggett","tx","25","78741"
"huston - tillotson college","austin","lloyd doggett","tx","25","78702"
"austin community college","austin","lloyd doggett","tx","25","78752"
"south texas community college","mcallen","lloyd doggett","tx","25","78501"
"texas wesleyan university","fort worth","michael c. burgess","tx","26","76105"
"texas woman's university","denton","michael c. burgess","tx","26","76204"
"north central texas college","gainesville","michael c. burgess","tx","26","76240"
"university of north texas","denton","michael c. burgess","tx","26","76203"
"texas a&m university - corpus christi","corpus christi","solomon p. ortiz","tx","27","78412"
"del mar college","corpus christi","solomon p. ortiz","tx","27","78404"
"university of texas at brownsville","brownsville","solomon p. ortiz","tx","27","78520"
"texas southmost college","brownsville","solomon p. ortiz","tx","27","78520"
"texas a&m university - kingsville","kingsville","solomon p. ortiz","tx","27","78363"
"texas lutheran university","seguin","henry cuellar","tx","28","78155"
"palo alto college","san antonio","henry cuellar","tx","28","78224"
"saint philip's college","san antonio","henry cuellar","tx","28","78203"
"texas state university-san marcos","san marcos","henry cuellar","tx","28","78666"
"lee college","baytown","gene green","tx","29","77520"
"kd studio","dallas","eddie bernice johnson","tx","30","75207"
"dallas institute of funeral service","dallas","eddie bernice johnson","tx","30","75227"
"cedar valley college","lancaster","eddie bernice johnson","tx","30","75134"
"university of texas southwestern medical center at dallas (t","dallas","eddie bernice johnson","tx","30","75390"
"court reporting institute of dallas","dallas","eddie bernice johnson","tx","30","75247"
"wade college","dallas","eddie bernice johnson","tx","30","75258"
"dallas theological seminary","dallas","eddie bernice johnson","tx","30","75204"
"paul quinn college","dallas","eddie bernice johnson","tx","30","75241"
"el centro college","dallas","eddie bernice johnson","tx","30","75202"
"tarleton state university","stephenville","john r. carter","tx","31","76401"
"southwestern university","georgetown","john r. carter","tx","31","78626"
"temple college","temple","john r. carter","tx","31","76504"
"university of mary hardin-baylor","belton","john r. carter","tx","31","76513"
"central texas college district","killeen","john r. carter","tx","31","76540"
"art institute of dallas (the)","dallas","pete sessions","tx","32","75231"
"ati - career training center","dallas","pete sessions","tx","32","75220"
"parker college of chiropractic","dallas","pete sessions","tx","32","75229"
"university of dallas","irving","pete sessions","tx","32","75062"
"southeastern career institute","dallas","pete sessions","tx","32","75230"
"mountain view college","dallas","pete sessions","tx","32","75211"
"southern methodist university","dallas","pete sessions","tx","32","75275"
"weber state university","ogden","rob bishop","ut","1","84408"
"utah state university","logan","rob bishop","ut","1","84322"
"ogden weber applied technology college","ogden","rob bishop","ut","1","84404"
"bridgerland applied technology college","logan","rob bishop","ut","1","84321"
"stevens henager college","west haven","rob bishop","ut","1","84401"
"college of eastern utah","price","jim matheson","ut","2","84501"
"western governors university","salt lake city","jim matheson","ut","2","84107"
"dixie state college of utah","st george","jim matheson","ut","2","84770"
"eagle gate college","murray","jim matheson","ut","2","84123"
"westminster college","salt lake city","jim matheson","ut","2","84105"
"southern utah university","cedar city","jim matheson","ut","2","84720"
"university of utah","salt lake city","jim matheson","ut","2","84112"
"uintah basin applied technology college","roosevelt","jim matheson","ut","2","84066"
"provo college","provo","chris cannon","ut","3","84601"
"certified careers institute","salt lake city","chris cannon","ut","3","84119"
"utah valley state college","orem","chris cannon","ut","3","84058"
"snow college","ephraim","chris cannon","ut","3","84627"
"itt technical institute","murray","chris cannon","ut","3","84123"
"mountain west college","west valley city","chris cannon","ut","3","84119"
"brigham young university","provo","chris cannon","ut","3","84602"
"salt lake community college","salt lake city","chris cannon","ut","3","84123"
"utah career college","west jordan","chris cannon","ut","3","84088"
"medical careers institute","newport news","jo ann davis","va","1","23606"
"mary washington college","fredericksburg","jo ann davis","va","1","22401"
"hampton university","hampton","jo ann davis","va","1","23668"
"college of william & mary","williamsburg","jo ann davis","va","1","23187"
"christopher newport university","newport news","jo ann davis","va","1","23606"
"rappahannock community college","glenns","jo ann davis","va","1","23149"
"eastern shore community college","melfa","thelma d. drake","va","2","23410"
"regent university","virginia beach","thelma d. drake","va","2","23464"
"aviation institute of maintenance","virginia beach","thelma d. drake","va","2","23455"
"old dominion university","norfolk","thelma d. drake","va","2","23529"
"bryant and stratton college","virginia beach","thelma d. drake","va","2","23462"
"tidewater tech","virginia beach","thelma d. drake","va","2","23452"
"virginia wesleyan college","norfolk","thelma d. drake","va","2","23502"
"ecpi college of technology - virginia beach","virginia beach","thelma d. drake","va","2","23462"
"norfolk state university","norfolk","robert c. scott","va","3","23504"
"virginia union university","richmond","robert c. scott","va","3","23220"
"tidewater community college","portsmouth","robert c. scott","va","3","23703"
"eastern virginia medical school","norfolk","robert c. scott","va","3","23501"
"thomas nelson community college","hampton","robert c. scott","va","3","23670"
"virginia commonwealth university","richmond","robert c. scott","va","3","23284"
"john tyler community college","chester","j. randy forbes","va","4","23831"
"richard bland college","petersburg","j. randy forbes","va","4","23805"
"southside virginia community college","alberta","j. randy forbes","va","4","23821"
"paul d. camp community college","franklin","j. randy forbes","va","4","23851"
"virginia state university","petersburg","j. randy forbes","va","4","23806"
"virginia university of lynchburg","lynchburg","virgil h. goode jr.","va","5","24501"
"hampden sydney college","hampden sydney","virgil h. goode jr.","va","5","23943"
"university of virginia","charlottesville","virgil h. goode jr.","va","5","22903"
"averett university","danville","virgil h. goode jr.","va","5","24541"
"patrick henry community college","martinsville","virgil h. goode jr.","va","5","24112"
"longwood university","farmville","virgil h. goode jr.","va","5","23909"
"piedmont virginia community college","charlottesville","virgil h. goode jr.","va","5","22902"
"danville community college","danville","virgil h. goode jr.","va","5","24541"
"ferrum college","ferrum","virgil h. goode jr.","va","5","24088"
"saint paul's college","lawrenceville","virgil h. goode jr.","va","5","23868"
"ecpi technical college - roanoke","roanoke","bob goodlatte","va","6","24012"
"eastern mennonite university","harrisonburg","bob goodlatte","va","6","22802"
"liberty university","lynchburg","bob goodlatte","va","6","24502"
"lynchburg college","lynchburg","bob goodlatte","va","6","24501"
"virginia military institute","lexington","bob goodlatte","va","6","24450"
"roanoke college","salem","bob goodlatte","va","6","24153"
"community hospital of roanoke valley college of health scien","roanoke","bob goodlatte","va","6","24016"
"bridgewater college","bridgewater","bob goodlatte","va","6","22812"
"sweet briar college","sweet briar","bob goodlatte","va","6","24595"
"miller-motte technical college","lynchburg","bob goodlatte","va","6","24502"
"blue ridge community college","weyers cave","bob goodlatte","va","6","24486"
"southern virginia university","buena vista","bob goodlatte","va","6","24416"
"national college of business and technology","salem","bob goodlatte","va","6","24153"
